"Health Monitoring Suite","Health Monitoring Suite"
"Cache Status","Cache Status"
"<a href=""%1"" target=""_blank"">Enable the following caches:</a> %2","<a href=""%1"" target=""_blank"">Enable the following caches:</a> %2"
"Cache Type","Cache Type"
"Switch Magento cache to Varnish for archiving in better response time.","Switch Magento cache to Varnish for archiving in better response time."
"CDN: Media Files","CDN: Media Files"
"<a href=""%1"" target=""_blank"">Setup CDN for User Media Files</a>","<a href=""%1"" target=""_blank"">Setup CDN for User Media Files</a>"
"CDN: Static Files","CDN: Static Files"
"<a href=""%1"" target=""_blank"">Setup CDN for Static View Files</a>","<a href=""%1"" target=""_blank"">Setup CDN for Static View Files</a>"
"Deploy Mode","Deploy Mode"
"Run command bin/magento deploy:mode:set production","Run command bin/magento deploy:mode:set production"
"Flat Catalog Category","Flat Catalog Category"
"<a href=""%1"" target=""_blank"">Enable Flat Catalog for Categories</a>","<a href=""%1"" target=""_blank"">Enable Flat Catalog for Categories</a>"
"Flat Catalog Product","Flat Catalog Product"
"<a href=""%1"" target=""_blank"">Enable Flat Catalog for Products</a>","<a href=""%1"" target=""_blank"">Enable Flat Catalog for Products</a>"
"Merge CSS Files","Merge CSS Files"
"Enable <a href=""%1"">Merge CSS Files</a>","Enable <a href=""%1"">Merge CSS Files</a>"
"Merge JavaScript Files","Merge JavaScript Files"
"Enable <a href=""%1"">Merge JavaScript Files</a>","Enable <a href=""%1"">Merge JavaScript Files</a>"
"Minify CSS Files","Minify CSS Files"
"Enable <a href=""%1"">Minify CSS Files</a>","Enable <a href=""%1"">Minify CSS Files</a>"
"Minify JavaScript Files","Minify JavaScript Files"
"Enable <a href=""%1"">Minify JavaScript Files</a>","Enable <a href=""%1"">Minify JavaScript Files</a>"
